"Year","Region","September 12-18_ag_1","September 19-25_ag_1","September 26 - October 02_ag_1","October 03-09_ag_1","October 10-16_ag_1","October 17-23_ag_1","October 24-30_ag_1","October 31 - November 05_ag_1","No sow date provided_ag_1","A Scatter of plants showing BYDV symptoms_ag_3","No BYDV seen_ag_3","Unknown_ag_4","Unknown_ag_5","Plough (conventional)_ag_5","Reduced Cultivation_ag_5","Unknown_ag_6","Baled and Removed_ag_6","Chopped and Incorporated_ag_6","Cereals_ag_8_1","Grass_ag_8_1","Other_ag_8_1","Unknown_ag_8_1","Wheat_ag_8_1","Oilseed rape_ag_8_1","Cereals_ag_8_2","Grass_ag_8_2","Other_ag_8_2","Unknown_ag_8_2","Wheat_ag_8_2","Oilseed rape_ag_8_2","Beans / peas_ag_8_3","Cereals_ag_8_3","Grass_ag_8_3","Other_ag_8_3","Unknown_ag_8_3","Wheat_ag_8_3","Oilseed rape_ag_8_3","Cereals_ag_8_4","Grass_ag_8_4","Other_ag_8_4","Unknown_ag_8_4","Wheat_ag_8_4","Oilseed rape_ag_8_4","A Scatter of plants showing premature ripening_ag_10","No take-all seen_ag_10","Percentage of fields with wheat once in previous 4 years (%)_ag_11","Percentage of fields with wheat twice in previous 4 years (%)_ag_11","Percentage of fields with wheat thrice in previous 4 years (%)_ag_11","Percentage of fields with wheat four times in previous 4 years (%)_ag_11","Unknown_ag_12","Certified_ag_12"
1971,"East",NA,5.1282051282051,5.1282051282051,10.2564102564102,10.2564102564102,12.8205128205128,7.6923076923076,12.8205128205128,7.6923076923076,NA,NA,5,100,NA,NA,100,NA,NA,22.5,6.25,15,25,22.5,NA,32.5,3.75,12.5,1.25,35,NA,5,32.5,2.5,16.25,5,31.25,NA,22.5,6.25,15,25,22.5,NA,NA,NA,41.25,18.75,7.5,2.5,100,NA
1971,"East Midlands",NA,NA,8.695652173913,13.0434782608695,13.0434782608695,8.695652173913,13.0434782608695,4.3478260869565,NA,NA,NA,NA,100,NA,NA,100,NA,NA,21.6216216216216,16.2162162162162,5.4054054054054,29.7297297297297,16.2162162162162,NA,24.3243243243243,18.9189189189189,16.2162162162162,8.1081081081081,13.5135135135135,NA,5.4054054054054,29.7297297297297,10.8108108108108,NA,21.6216216216216,29.7297297297297,NA,21.6216216216216,16.2162162162162,5.4054054054054,29.7297297297297,16.2162162162162,NA,NA,NA,24.3243,16.2162,2.7027,2.7027,100,NA
1971,"North East",NA,NA,28.5714285714285,14.2857142857142,14.2857142857142,14.2857142857142,NA,28.5714285714285,NA,NA,NA,NA,100,NA,NA,100,NA,NA,28.5714285714285,42.8571428571428,NA,14.2857142857142,NA,NA,42.8571428571428,57.1428571428571,NA,NA,NA,NA,NA,28.5714285714285,42.8571428571428,NA,14.2857142857142,14.2857142857142,NA,28.5714285714285,42.8571428571428,NA,14.2857142857142,NA,NA,NA,NA,14.2857,0,0,0,100,NA
1971,"North West",NA,NA,NA,7.1428571428571,14.2857142857142,NA,14.2857142857142,21.4285714285714,7.1428571428571,NA,NA,NA,100,NA,NA,100,NA,NA,19.047619047619,19.047619047619,9.5238095238095,23.8095238095238,23.8095238095238,NA,33.3333333333333,9.5238095238095,NA,9.5238095238095,38.095238095238,NA,9.5238095238095,33.3333333333333,9.5238095238095,NA,14.2857142857142,19.047619047619,NA,19.047619047619,19.047619047619,9.5238095238095,23.8095238095238,23.8095238095238,NA,NA,NA,23.8095,33.3333,4.7619,0,100,NA
1971,"South East",NA,NA,6.6666666666666,20,20,6.6666666666666,20,NA,6.6666666666666,NA,NA,NA,100,NA,NA,100,NA,NA,30.7692307692307,23.076923076923,NA,19.2307692307692,26.9230769230769,NA,19.2307692307692,34.6153846153846,7.6923076923076,3.8461538461538,26.9230769230769,NA,7.6923076923076,30.7692307692307,38.4615384615384,3.8461538461538,3.8461538461538,11.5384615384615,NA,30.7692307692307,23.076923076923,NA,19.2307692307692,26.9230769230769,NA,NA,NA,19.2307,11.5384,11.5384,3.8461,100,NA
1971,"South West",NA,NA,6.6666666666666,20,33.3333333333333,NA,20,NA,20,NA,NA,10,100,NA,NA,100,NA,NA,30,35,NA,35,NA,NA,25,45,5,15,5,NA,NA,35,40,NA,15,10,NA,30,35,NA,35,NA,NA,NA,NA,15,0,0,0,100,NA
1971,"Wales",NA,NA,23.076923076923,15.3846153846153,23.076923076923,15.3846153846153,7.6923076923076,NA,7.6923076923076,NA,NA,NA,100,NA,NA,100,NA,NA,NA,82.3529411764705,NA,5.8823529411764,11.7647058823529,NA,23.5294117647058,47.0588235294117,NA,5.8823529411764,23.5294117647058,NA,NA,17.6470588235294,58.8235294117647,NA,NA,23.5294117647058,NA,NA,82.3529411764705,NA,5.8823529411764,11.7647058823529,NA,NA,NA,17.647,17.647,5.8823,0,100,NA
1971,"West Midlands",12.5,NA,12.5,12.5,18.75,18.75,12.5,6.25,NA,NA,NA,NA,100,NA,NA,100,NA,NA,30.4347826086956,34.7826086956521,4.3478260869565,13.0434782608695,8.695652173913,NA,21.7391304347826,34.7826086956521,8.695652173913,NA,13.0434782608695,NA,NA,39.1304347826086,39.1304347826086,4.3478260869565,4.3478260869565,13.0434782608695,NA,30.4347826086956,34.7826086956521,4.3478260869565,13.0434782608695,8.695652173913,NA,NA,NA,17.3913,13.0434,0,0,100,NA
1971,"Yorkshire and The Humber",5.2631578947368,5.2631578947368,5.2631578947368,10.5263157894736,26.3157894736842,15.7894736842105,15.7894736842105,5.2631578947368,5.2631578947368,NA,NA,NA,100,NA,NA,100,NA,NA,34.4827586206896,3.4482758620689,6.8965517241379,51.7241379310344,3.4482758620689,NA,41.3793103448275,10.3448275862068,3.4482758620689,13.7931034482758,17.2413793103448,NA,3.4482758620689,51.7241379310344,6.8965517241379,6.8965517241379,20.6896551724137,10.3448275862068,NA,34.4827586206896,3.4482758620689,6.8965517241379,51.7241379310344,3.4482758620689,NA,NA,NA,17.2413,3.4482,3.4482,0,100,NA
1972,"East",2.5641025641025,NA,5.1282051282051,12.8205128205128,10.2564102564102,15.3846153846153,12.8205128205128,10.2564102564102,5.1282051282051,NA,NA,8.8235294117647,100,NA,NA,100,NA,NA,25,7.3529411764705,22.0588235294117,19.1176470588235,14.7058823529411,NA,44.1176470588235,2.9411764705882,16.1764705882352,NA,19.1176470588235,NA,5.8823529411764,41.1764705882352,4.4117647058823,5.8823529411764,5.8823529411764,29.4117647058823,NA,25,7.3529411764705,22.0588235294117,19.1176470588235,14.7058823529411,NA,NA,NA,39.7058,10.2941,5.8823,0,100,NA
