"Region","Year","prop_anth","prop_nature"
"East",1971,0.834554509176087,0.116954987418528
"East",1972,0.833727307784318,0.117782190095917
"East",1973,0.832900111593993,0.118609383109464
"East",1974,0.832072907767031,0.119436591586278
"East",1975,0.831245709065115,0.120263788208441
"East",1976,0.830418504667856,0.121090987320134
"East",1977,0.82959130504224,0.121918191121452
"East",1978,0.828764106368735,0.122745390197225
"East",1979,0.827936909449775,0.123572583177753
"East",1980,0.827109711749169,0.124399788239052
"East",1981,0.825192697698228,0.126316791395053
"East",1982,0.823275692099872,0.128233798305594
"East",1983,0.821358685773919,0.130150805125373
"East",1984,0.819441680875441,0.132067811627179
"East",1985,0.817524671815114,0.133984816370112
"East",1986,0.81560767004599,0.135901825202129
"East",1987,0.813690655552948,0.137818831082616
"East",1988,0.811773654462914,0.139735835545177
"East",1989,0.80985664434792,0.141652844892904
"East",1990,0.807939643341039,0.143569850837314
"East",1991,0.801367405172814,0.150142092435919
"East",1992,0.794795165206389,0.156714329421998
"East",1993,0.788222926016758,0.163286567243946
"East",1994,0.781650685814037,0.16985880809313
"East",1995,0.775078440352531,0.176431052104852
"East",1996,0.768506208050808,0.183003287172235
"East",1997,0.76193397316993,0.189575524425656
"East",1998,0.755361725125113,0.196147768465297
"East",1999,0.748789495295482,0.202720002124109
"East",2000,0.74221724799593,0.209292245749935
"East",2001,0.728487622704484,0.223021870560962
"East",2002,0.73790545009667,0.213604045878066
"East",2003,0.730005597538409,0.22150389581092
"East",2004,0.742484438410472,0.209025055738818
"East",2005,0.735426014554659,0.216083478896495
"East",2006,0.77598171228809,0.175527782074231
"East",2007,0.772388839724867,0.179120652475381
"East",2008,0.768683763788431,0.182825725832512
"East",2009,0.764869852710122,0.186639641065944
"East",2010,0.758725473380764,0.192784021365682
"East",2011,0.763717823794217,0.187791669556149
"East",2012,0.7738858877641,0.177623607730656
"East",2013,0.769495448944369,0.18201404513437
"East",2014,0.773521462713169,0.177988031807989
"East",2015,0.778169264125089,0.173340226503116
"East Midlands",1971,0.858472636523901,0.124106203470908
"East Midlands",1972,0.857208882153387,0.125369954124701
"East Midlands",1973,0.855945127896473,0.126633710745222
"East Midlands",1974,0.85468137653492,0.127897461192661
"East Midlands",1975,0.85341762752045,0.12916120826005
"East Midlands",1976,0.852153869262228,0.130424964409318
"East Midlands",1977,0.850890128118936,0.131688710469952
"East Midlands",1978,0.84962636437605,0.132952470152418
"East Midlands",1979,0.848362613130443,0.13421621851299
"East Midlands",1980,0.847098871020623,0.135479968562888
"East Midlands",1981,0.844952501428892,0.137626340781128
"East Midlands",1982,0.842806115382231,0.139772718367586
"East Midlands",1983,0.8406597362712,0.141919096581299
"East Midlands",1984,0.838513359496456,0.14406547589676
"East Midlands",1985,0.836366982556478,0.146211849738475
"East Midlands",1986,0.834220608187024,0.148358227346215
"East Midlands",1987,0.83207422338995,0.150504603966437
"East Midlands",1988,0.829927852507793,0.15265098122633
"East Midlands",1989,0.827781473139992,0.154797361062273
"East Midlands",1990,0.825635097201748,0.156943736645777
"East Midlands",1991,0.81875961069243,0.163819226512679
"East Midlands",1992,0.811884122394164,0.170694717608839
"East Midlands",1993,0.805008639058102,0.1775702017061
"East Midlands",1994,0.798133150027077,0.184445683354044
"East Midlands",1995,0.791257675672832,0.191321162349757
"East Midlands",1996,0.784382186447469,0.198196649064919
"East Midlands",1997,0.777506704030055,0.205072135420464
"East Midlands",1998,0.770631220293111,0.211947617527693
"East Midlands",1999,0.763755740989338,0.218823101941495
"East Midlands",2000,0.756880257885402,0.225698579867676
"East Midlands",2001,0.744406922737506,0.238171912062907
"East Midlands",2002,0.752542530212058,0.230036304425556
"East Midlands",2003,0.745325569418539,0.237253264976339
"East Midlands",2004,0.756566500535794,0.226012331328619
"East Midlands",2005,0.749485298712135,0.233093538753332
"East Midlands",2006,0.790232775388792,0.192346059002711
"East Midlands",2007,0.785606242993503,0.196972596019707
"East Midlands",2008,0.782326841598514,0.200251996448826
"East Midlands",2009,0.776485786556394,0.206093045067508
"East Midlands",2010,0.770123780536514,0.212455054533873
"East Midlands",2011,0.773854610177777,0.208724223631487
"East Midlands",2012,0.782880055635695,0.199698779419132
"East Midlands",2013,0.778657993905842,0.203920845514118
"East Midlands",2014,0.782019920560725,0.200558916148032
"East Midlands",2015,0.785563572921514,0.197015263091266
"London",1971,0.673824633471668,0.320237060934897
"London",1972,0.674710269706945,0.31935141518731
"London",1973,0.675595921153823,0.318465769538201
"London",1974,0.676481545592348,0.317580144896517
"London",1975,0.677367182138065,0.316694508042307
"London",1976,0.678252834205826,0.31580885352053
"London",1977,0.679138468578458,0.314923216899236
"London",1978,0.680024097673595,0.314037592090115
"London",1979,0.680909752224882,0.313151935736338
"London",1980,0.681795390633245,0.312266300859088
"London",1981,0.68266500874112,0.311396678399829
"London",1982,0.68353466099749,0.310527027332296
"London",1983,0.684404303940634,0.309657385722826
"London",1984,0.685273958059649,0.308787733391427
"London",1985,0.686143598519266,0.307918092135481
"London",1986,0.687013243325055,0.307048446341062
"London",1987,0.687882888130844,0.306178803334892
"London",1988,0.688752542249858,0.305309151971701
"London",1989,0.689622181467712,0.304439511163459
