"Region","Year","aridity_annual-mean_hadgem2","BIO01_hadgem2","BIO02_hadgem2","BIO03_hadgem2","BIO04_hadgem2","BIO05_hadgem2","BIO06_hadgem2","BIO07_hadgem2","BIO08_hadgem2","BIO09_hadgem2","BIO10_hadgem2","BIO11_hadgem2","BIO12_hadgem2","BIO13_hadgem2","BIO14_hadgem2","BIO15_hadgem2","BIO16_hadgem2","BIO17_hadgem2","BIO18_hadgem2","BIO19_hadgem2","cloud-cover_annual-mean_hadgem2","evaporative-fraction_annual-mean_hadgem2","growing-degree-days-during-growing-season-length_hadgem2","potential-evaporation_annual-mean_hadgem2","surface-latent-heat-flux_annual-mean_hadgem2","surface-sensible-heat-flux_annual-mean_hadgem2","volumetric-soil-water-layer-1_annual-mean_hadgem2","water-vapor-pressure_annual-mean_hadgem2"
"East",1971,0.0643991336226463,282.119540405273,5.58003826141357,44.3669452667236,408.22102355957,291.868643188477,279.300473022461,12.5681699752808,282.33176574707,277.953778076172,287.499209594727,277.070401000977,2.21823285073697e-08,3.23667837420771e-08,8.79137815879005e-09,0.332724359631538,2.82238014293057e-08,1.6190596863197e-08,3.18298564394581e-08,2.37524234947273e-08,0.713185375928879,0.893934398889542,2186.60915527344,1.43481410752599e-08,44.65592918396,1.73790798187256,0.353238095343113,965.844476318359
"East",1972,0.193193945288658,282.708178710937,6.09790344238281,45.9461410522461,459.657098388672,292.945233154297,279.629559326172,13.3156754493713,282.690063476562,282.917520141602,288.446896362305,276.981338500977,2.00198009281394e-08,4.10390686766959e-08,4.406536024959e-09,0.492434003949165,3.01283989756485e-08,1.14696995012764e-08,1.82620686572932e-08,2.11348922363186e-08,0.696628171205521,0.861852258443832,2413.55053710938,1.61856226199575e-08,43.4954040527344,3.43522770404816,0.330503894388676,941.403381347656
"East",1973,0.0694033093750477,282.823526000977,5.53175206184387,41.5597175598145,404.377062988281,293.281695556641,280.010925292969,13.2707722663879,282.724847412109,282.898474121094,288.326934814453,277.833270263672,2.64608523536936e-08,4.93395639011851e-08,8.79566837141965e-09,0.414519417285919,3.46155690778005e-08,1.78584123489145e-08,2.37344522702188e-08,2.32246209819209e-08,0.725742989778519,0.896538990736008,2330.84223632813,1.47213489398723e-08,46.620573425293,-1.84170937538147,0.353250175714493,997.374761962891
"East",1974,0.113891345262527,282.533804321289,6.11142196655273,45.6713191986084,427.643322753906,292.849005126953,279.442572021484,13.4064339637756,284.752920532227,280.966439819336,288.101834106445,277.223043823242,2.10211499762636e-08,3.8100588284351e-08,9.53051353391743e-09,0.377570247650146,2.73834025676933e-08,1.63647269957323e-08,2.50119168043739e-08,1.77141052049024e-08,0.698158949613571,0.881128174066544,2320.126953125,1.57244462783979e-08,45.4792079925537,3.80514187812805,0.344752950966358,948.430718994141
"East",1975,0.0404979825019836,282.52712097168,5.68081965446472,47.5652458190918,398.480160522461,291.601559448242,279.599578857422,12.0019792556763,284.247854614258,280.287835693359,287.591567993164,277.308642578125,2.59123833501462e-08,3.95614499382191e-08,1.35718902782855e-08,0.272219270467758,2.80054319290457e-08,1.90884396289448e-08,2.78390308139365e-08,2.16310320766411e-08,0.716472667455673,0.90025771856308,2261.25638427734,1.47305635245232e-08,45.7566516876221,0.822015023231506,0.354864254593849,988.544445800781
"East",1976,0.0777599439024925,281.631579589844,5.60649156570435,40.6153533935547,554.604577636719,292.623330688477,278.802734375,13.8206004142761,285.481631469727,275.425186157227,287.962646484375,275.529479980469,2.23823354517094e-08,5.14425650521844e-08,6.57621295196975e-09,0.504376855492592,3.52827996152882e-08,1.56269740259063e-08,2.59809301184077e-08,1.34177012611758e-08,0.712672817707062,0.870031905174255,2283.59577636719,1.49535111404475e-08,44.6182445526123,4.01589221954346,0.361394533514977,952.337384033203
"East",1977,0.085058669000864,282.016818237305,5.68324680328369,44.0516372680664,374.37177734375,292.165551757813,279.183843994141,12.9817133903503,288.601559448242,277.628729248047,287.071466064453,275.797604370117,2.37647798329021e-08,4.33700467539211e-08,6.90580614914893e-09,0.453985542058945,3.08614829691578e-08,1.23451687983334e-08,3.60452556691371e-08,2.00557765950293e-08,0.723612999916077,0.891453790664673,2161.21904296875,1.37424794210972e-08,43.5219299316406,-0.408116102218628,0.353455862402916,947.247314453125
"East",1978,0.144628673791885,282.602111816406,5.91470971107483,44.4879417419434,395.391372680664,292.932183837891,279.633474731445,13.2987044334412,283.881512451172,282.545150756836,288.051458740234,276.245471191406,1.95857968066093e-08,3.10006377901573e-08,2.86805916793753e-09,0.374932512640953,2.63634712283078e-08,1.00461393870432e-08,1.63586935997273e-08,1.19517904906274e-08,0.702535754442215,0.87832647562027,2277.68410644531,1.55224612718996e-08,44.9355884552002,2.6059131860733,0.343406556546688,969.149603271484
"East",1979,0.139670903980732,282.741247558594,5.98448009490967,44.5431499481201,543.037969970703,293.191619873047,279.725436401367,13.4661818504333,287.101986694336,282.323797607422,288.960784912109,275.513037109375,2.06476872932626e-08,3.67810301327154e-08,7.41195900211267e-09,0.418711239099503,2.48751437226247e-08,1.41669920239451e-08,2.54066607752179e-08,1.33807777302764e-08,0.701866781711578,0.885681384801865,2448.25288085938,1.57627622954237e-08,45.456196975708,1.76628506183624,0.349274587631226,999.838555908203
"East",1980,0.249103292822838,283.614965820312,6.4980495929718,40.2155742645264,517.224670410156,296.457733154297,280.283023071289,16.1747192382812,283.10458984375,284.87028503418,290.519299316406,278.080456542969,1.76729198386738e-08,3.4422156858227e-08,4.67891370092843e-09,0.516684558987617,3.00331301161805e-08,6.98471311899596e-09,1.5015542853547e-08,2.21092957275459e-08,0.677009463310242,0.82974203824997,2527.06843261719,1.78037726783487e-08,41.8179183959961,8.26868443489075,0.324889262020588,993.453210449219
"East",1981,0.203660207986832,283.72942199707,6.07763452529907,37.0140445709228,533.13525390625,296.999069213867,280.632986450195,16.3660853385925,283.115997314453,285.107513427734,291.198837280273,276.410855102539,1.85477412983914e-08,3.84242582640582e-08,5.71734433130189e-09,0.494182312488556,2.71981527077969e-08,9.91993784893452e-09,1.5943436171284e-08,1.35052033556349e-08,0.685694289207458,0.844837242364883,2614.88327636719,1.75511608802026e-08,40.7665027618408,7.483149766922,0.331358473002911,1027.95725708008
"East",1982,0.0936827972531319,282.473596191406,5.65596823692322,47.2030956268311,435.343905639648,291.615112304688,279.594821166992,12.0202923774719,285.342196655273,281.824389648437,287.706106567383,275.64616394043,2.10872512340643e-08,4.50565778464806e-08,6.65392119181263e-09,0.435329860448837,2.72053778616055e-08,1.47719945609026e-08,2.24027697726115e-08,1.68754516138847e-08,0.726964455842972,0.862851524353027,2319.38358154297,1.4689750571506e-08,39.8963130950928,3.18918368816376,0.344534775614738,960.941033935547
"East",1985,0.184967583417892,282.701461791992,6.17674021720886,37.7747543334961,532.15517578125,295.852047729492,279.555236816406,16.2968152046204,283.901940917969,283.66858215332,289.652258300781,275.803436279297,2.3468522414305e-08,4.23493190737645e-08,5.29828736439697e-09,0.471104621887207,3.37999171762249e-08,8.33879285622174e-09,1.851710127454e-08,1.7912016403443e-08,0.679907035827637,0.868955826759338,2420.40986328125,1.65655841044554e-08,44.2781589508057,4.49608392715454,0.339292329549789,976.440228271484
"East",1986,0.118203618377447,283.59182434082,5.65501561164856,42.8891368865967,410.889364624023,293.973431396484,280.744229125977,13.2291996955872,285.094491577148,282.215127563477,288.909823608398,277.830450439453,2.59396614410434e-08,4.56458945308214e-08,7.14230643517055e-09,0.412648087739944,3.12389484946607e-08,1.82067397602737e-08,3.27720513837448e-08,2.59745966957325e-08,0.724208807945251,0.897849208116531,2535.96809082031,1.55377199995144e-08,47.4293102264404,1.32755143642426,0.348345929384232,1082.63892822266
"East",1987,0.1096191637218,282.454684448242,5.80506863594055,44.6724956512451,425.114172363281,292.517489624023,279.521774291992,12.9957259178162,285.136535644531,282.277914428711,287.828997802734,277.399633789062,2.18861172740503e-08,4.50301566701228e-08,7.52313149554595e-09,0.438032934069634,2.8670491047933e-08,1.16658879001363e-08,1.75615364916837e-08,1.69128279381425e-08,0.710176867246628,0.891262632608414,2309.30961914062,1.48582820713727e-08,45.554020690918,1.65902259349823,0.353914347290993,983.650158691406
"East",1988,0.118183715641499,282.272265625,5.81174192428589,39.5268074035645,496.819955444336,293.906649780273,279.339105224609,14.5675481796265,283.298941040039,283.219989013672,288.775720214844,276.467538452148,1.96103508542933e-08,3.25939883083493e-08,8.44806899991113e-09,0.351620656251907,2.91740697377918e-08,1.42736747754668e-08,2.17611079378344e-08,9.66166364690935e-09,0.698105674982071,0.862711131572723,2323.46193847656,1.59930827692278e-08,44.4588386535645,5.95452299118042,0.348351374268532,973.728619384766
"East",1989,0.210659515857697,283.353927612305,6.41380929946899,44.3225151062012,416.405282592773,294.589291381836,280.08571472168,14.5035725593567,283.878802490234,279.252478027344,289.013626098633,277.827786254883,2.00670253747148e-08,4.45093565559773e-08,5.12726949786213e-09,0.568551832437515,3.08151410166602e-08,1.11074729858274e-08,1.95453017326486e-08,2.28976459126784e-08,0.667316967248917,0.85537257194519,2448.3037109375,1.73814971304864e-08,44.7204601287842,5.14709482192993,0.33121433109045,967.927252197266
"East",1990,0.22471167743206,283.604153442383,6.42274169921875,40.3990539550781,504.172970581055,296.29426574707,280.380383300781,15.9138892173767,282.735159301758,282.589767456055,290.570111083984,277.629440307617,1.8641569887734e-08,4.02227605889038e-08,5.92579523228665e-09,0.540305233001709,2.7214377951168e-08,7.90037244513542e-09,2.06684196868423e-08,2.28927504508647e-08,0.672094398736954,0.845621234178543,2557.44106445312,1.76016719422023e-08,41.5387359619141,7.22715587615967,0.325464503467083,993.123413085938
"East",1991,0.216309295594692,283.429888916016,6.09667930603027,40.2663757324219,470.575662231445,295.531716918945,280.303869628906,15.2278519630432,283.317028808594,283.336773681641,289.738006591797,278.239395141602,1.9133186235365e-08,3.75926855866737e-08,5.1600564709986e-09,0.50145997107029,3.24203185186889e-08,8.66953877576293e-09,1.54814376429613e-08,2.14465346815018e-08,0.681976997852325,0.849324983358383,2491.69812011719,1.74522492457641e-08,42.3229148864746,5.29996981620789,0.32597835958004,991.244946289062
"East",1992,0.137139472365379,283.505059814453,5.92254905700684,41.1222759246826,434.433596801758,294.829235839844,280.482049560547,14.3471874237061,282.950140380859,282.336840820312,289.121524047852,278.096224975586,1.85167493782501e-08,3.09478572546595e-08,8.69823599813913e-09,0.349295487999916,2.76133228283015e-08,1.23818690411781e-08,2.00282389783979e-08,2.40895325021029e-08,0.696639066934586,0.845053970813751,2478.42907714844,1.65556746978268e-08,41.4341979980469,5.52932057380676,0.333627884089947,1014.35825195312
"East",1993,0.180749548971653,282.817803955078,5.79297533035278,42.4776306152344,481.811087036133,293.423089599609,279.820111083984,13.6029829025269,281.508178710938,283.132147216797,288.755746459961,276.629876708984,1.90631187280133e-08,3.32479373810202e-08,7.73822925737022e-09,0.43120051920414,3.05536458355959e-08,1.05805946226667e-08,1.67418932051078e-08,2.46705743833786e-08,0.709293574094772,0.84766138792038,2395.10639648438,1.61043640645175e-08,39.5387741088867,7.67075700759888,0.33681415617466,977.948962402344
"East",1994,0.102721203118563,283.200521850586,5.72658076286316,38.4123657226562,503.683001708984,295.067245483398,280.269064331055,14.798183631897,286.367205810547,283.286834716797,289.916619873047,276.976803588867,2.49492813964025e-08,4.18599412910226e-08,1.10365091288145e-08,0.347817638516426,2.93550957763955e-08,1.5789170859648e-08,3.00884291704051e-08,1.64736647434438e-08,0.695962464809418,0.887178409099579,2463.02280273438,1.68315251514173e-08,47.4671356201172,4.19861791133881,0.344708505272865,1027.32482299805
"East",1995,0.0787662677466869,283.470959472656,5.88804655075073,46.1317165374756,432.040469360352,293.225415039063,280.453839111328,12.7715798377991,286.153616333008,283.000784301758,289.199472045898,278.335211181641,2.42767061564564e-08,3.63758985599816e-08,1.06645073216782e-08,0.297069784998894,2.80481078362982e-08,1.7448012101795e-08,2.59560982485141e-08,2.07452014677756e-08,0.693175739049911,0.878036040067673,2462.68833007813,1.60206672816798e-08,46.5996013641357,2.57180867195129,0.345141626894474,1054.35343017578
